Species,foraged,Species_mean
Sapium_glandulosum,1,0.124146037
Simarouba_amara,0,-0.091181269
Simira_maxonii,1,-0.148734494
Siparuna_pauciflora,0,-0.037134016
Sloanea_geniculata,1,0.288593164
Sloanea_laevigata,0,-0.088360132
Sloanea_medusula,0,-0.06170068
Socratea_exorrhiza,0,-0.110269509
Sorocea_pubivena,0,-0.099166661
Spondias_mombin,0,-0.077150065
Spondias_radlkoferi,0,-0.291633528
Sterculia_recordiana,0,-0.13789453
Swartzia_cubensis,0,-0.298586562
Swartzia_simplex,0,-0.061250696
Symphonia_globulifera,0,-0.020913054
Symplocos_sp,1,0.55629094
Tabebuia_guayacan,1,0.201308558
Tabebuia_rosea,0,-0.054366705
Tabernaemontana_arborea,0,-0.018448554
Tapirira_myriantha,1,0.419826632
Terminalia_amazonia,1,0.102484141
Terminalia_oblonga,1,1.06665453
Tovomita_weddelliana,0,-0.016375753
Tovomitopsis_nicaraguensis,0,-0.004294033
Trema_integerrima,0,-0.029483284
Trophis_racemosa,1,0.111070424
Unonopsis_pittieri,0,-0.017541312
Virola_koschnyi,1,0.004931031
Virola_sebifera,1,0.401787286
Vochysia_ferruginea,0,-0.012203898
Vochysia_guatemalensis,0,-0.152264929
Warscewiczia_coccinea,0,-0.329084833
Welfia_regia,0,-0.219150343
Xylosma_chlorantha,0,-0.042643291
