Family,Genus,Species,TAG,DBH,Colony,Foraged,Distance,Succession
leguminosae,pentaclethra,Pentaclethra_macroloba,1359,25.5,5,0,18.20565952,NA
clusiaceae,symphonia,Symphonia_globulifera,1361,0,9,0,29.99281635,n
moraceae,clarisia,Clarisia_mexicana,1362,6.2,9,0,29.62966285,NA
moraceae,maquira,Maquira_costaricana,1363,0,9,0,30.83344078,n
lauraceae,ocotea,Ocotea_hartshorniana,1364,2.5,9,0,32.2627811,NA
lauraceae,ocotea,Ocotea_atirrensis,1365,1.2,9,0,34.32560738,NA
myristicaceae,otoba,Otoba_novogranatensis,1366,4.5,9,0,35.46981993,NA
melastomataceae,miconia,Miconia_dorsiloba,1367,2.4,9,0,31.69789803,NA
malvaceae,goethalsia,Goethalsia_meiantha,1368,34.5,9,0,23.57196031,NA
rubiaceae,pentagonia,Pentagonia_donnell-smithii,1369,2.9,9,0,22.20260729,NA
sabiaceae,meliosma,Meliosma_donnell-smithii,1370,1.6,9,0,20.50153827,NA
lauraceae,ocotea,Ocotea_dendrodaphne,1371,1.9,9,0,20.99767235,NA
malvaceae,goethalsia,Goethalsia_meiantha,1372,25.5,9,0,24.99755612,NA
leguminosae,inga,Inga_leiocalycina,1374,6.8,9,0,28.70978393,NA
annonaceae,cymbopetalum,Cymbopetalum_torulosum,1375,1.1,9,0,32.40519092,NA
burseraceae,dipteryx,Dipteryx_panamensis,1376,0,9,0,33.40625074,NA
sapotaceae,pouteria,Pouteria_glomerulata,1377,1.1,9,0,26.79658907,NA
caricaceae,jacaratia,Jacaratia_dolichaula,1378,11.2,9,0,24.48561799,NA
rubiaceae,posoqueria,Posoqueria_grandiflora,1379,52.6,9,0,29.52136317,NA
burseraceae,dipteryx,Dipteryx_panamensis,1380,0,9,0,28.7532942,NA
euphorbiaceae,croton,Croton_schiedeanus,1381,5.8,9,0,34.70242064,NA
meliaceae,guarea,Guarea_sp,1382,0,9,0,32.97780338,NA
myristicaceae,virola,Virola_sebifera,1383,0,9,0,36.55696389,n
solanaceae,cestrum,Cestrum_megalophyllum,1387,3.9,9,0,19.95262182,NA
malvaceae,goethalsia,Goethalsia_meiantha,1388,35,9,1,20.26593764,NA
myristicaceae,otoba,Otoba_novogranatensis,1389,5,9,0,21.25805855,NA
myristicaceae,virola,Virola_koschnyi,1390,8.1,9,0,20.76391742,NA
melastomataceae,miconia,Miconia_multispicata,1391,5.1,9,0,21.32052697,NA
moraceae,sorocea,Sorocea_pubivena,1392,2.9,9,0,24.3000006,NA
simaroubaceae,simarouba,Simarouba_amara,1393,2.6,9,0,24.80229451,n
malvaceae,goethalsia,Goethalsia_meiantha,1394,33.3,9,0,24.70417401,NA
monimiaceae,siparuna,Siparuna_pauciflora,1396,8.5,9,0,22.49189026,n
leguminosae,inga,Inga_leiocalycina,1397,6.9,9,0,28.59065823,NA
myristicaceae,virola,Virola_sebifera,1398,9.3,9,0,30.94380797,n
malvaceae,goethalsia,Goethalsia_meiantha,1399,37,9,0,30.88534906,NA
moraceae,perebea,Perebea_angustifolia,1400,1.3,9,0,34.36493648,NA
euphorbiaceae,alchornea,Alchornea_costaricensis,1401,31.5,9,0,34.42953373,c
malvaceae,goethalsia,Goethalsia_meiantha,1402,45,9,0,29.56212743,NA
rubiaceae,psychotria,Psychothria_graciliflora,1403,0,9,0,30.6851661,NA
flacourtiaceae,casearia,Casearia_commersoniana,1404,0,9,0,31.23452452,NA
myristicaceae,virola,Virola_sebifera,1405,9.1,9,0,38.27644648,n
rhizophoraceae,cassipourea,Cassipourea_elliptica,1407,0,9,0,38.19320956,n
melastomataceae,miconia,Miconia_appendiculata,1408,6.5,9,0,39.72867892,NA
malvaceae,goethalsia,Goethalsia_meiantha,1409,31.5,9,0,40.03153898,NA
moraceae,ficus,Ficus_maxima,1410,7.7,9,0,42.40632916,NA
leguminosae,inga,Inga_pavoniana,1411,6.5,9,0,37.51389546,NA
caricaceae,jacaratia,Jacaratia_dolichaula,1415,9.6,9,0,44.94966018,NA
olacaceae,heisteria,Heisteria_concinna,1416,0,9,0,45.69963393,n
malvaceae,goethalsia,Goethalsia_meiantha,1418,55,9,0,51.54532201,NA
euphorbiaceae,sapium,Sapium_glandulosum,1419,15,9,0,52.17331491,NA
monimiaceae,siparuna,Siparuna_pauciflora,1421,4.5,9,0,50.16097344,n
lauraceae,ocotea,Ocotea_hartshorniana,1425,12.5,9,0,49.2629926,NA
cecropiaceae,pourouma,Pourouma_bicolor,1436,12.3,9,0,42.61537013,NA
moraceae,ficus,Ficus_tonduzii,1437,11.5,9,0,38.17989174,NA
moraceae,sorocea,Sorocea_pubivena,1438,6.1,9,0,35.73290778,NA
lacistemaceae,lacistema,Lacistema_aggregatum,1439,5.5,9,0,32.3466422,n
myristicaceae,virola,Virola_sebifera,1440,17.8,9,0,30.4630936,n
malvaceae,goethalsia,Goethalsia_meiantha,1442,45,9,0,22.68576289,NA
anacardiaceae,tapirira,Tapirira_myriantha,1443,6.5,9,0,25.48283272,NA
malvaceae,goethalsia,Goethalsia_meiantha,1444,31,9,0,25.35297943,NA
clusiaceae,tovomitopsis,Tovomitopsis_nicaraguensis,1445,2.5,9,0,25.72913212,NA
malvaceae,goethalsia,Goethalsia_meiantha,1446,36,9,0,26.29076502,NA
myristicaceae,otoba,Otoba_novogranatensis,1447,3.7,9,0,29.5035146,NA
hernandiaceae,hernandia,Hernandia_didymantha,1448,9.2,9,0,30.58964095,NA
melastomataceae,miconia,Miconia_sp,1449,4.2,9,0,32.32629818,NA
sapotaceae,pouteria,Pouteria_glomerulata,1450,0,9,0,35.63480048,NA
rubiaceae,psychotria,Psychotria_chiapensis,1451,0,9,0,40.17421459,NA
malvaceae,hampea,Hampea_appendiculata,1452,16.5,9,0,40.43855759,NA
annonaceae,cymbopetalum,Cymbopetalum_torulosum,1453,2.8,9,0,38.63187932,NA
moraceae,perebea,Perebea_angustifolia,1454,3,9,0,40.02852491,NA
moraceae,castilla,Castilla_elastica,1456,8,9,0,45.82407398,NA
ulmaceae,trema,Trema_integerrima,1457,16.8,9,0,43.4612207,NA
lauraceae,ocotea,Ocotea_hartshorniana,1458,5.7,9,0,48.08405429,NA
ulmaceae,celtis,Celtis_schippii,1459,12,9,0,49.592274,NA
rubiaceae,coussarea,Coussarea_hondensis,1469,2.7,7,0,21.15928734,NA
malvaceae,goethalsia,Goethalsia_meiantha,1471,57,7,0,22.37253056,NA
leguminosae,erythrina,Erythrina_cochleata,1472,4.3,7,0,20.55862683,NA
leguminosae,dussia,Dussia_macroprophyllata,1473,2.7,7,0,22.31174583,NA
boraginaceae,cordia,Cordia_bicolor,1474,6,7,0,16.33745464,c
elaeocarpaceae,sloanea,Sloanea_laevigata,1475,1.8,7,0,12.90700451,NA
moraceae,trophis,Trophis_racemosa,1476,4.8,7,0,12.00026092,n
malvaceae,goethalsia,Goethalsia_meiantha,1477,32.5,7,1,14.26359142,NA
